rowid,code_module,code_presentation,id_student,click_dataplus,click_dualpane,click_externalquiz,click_folder,click_forumng,click_glossary,click_homepage,click_htmlactivity,click_oucollaborate,click_oucontent,click_ouelluminate,click_ouwiki,click_page,click_questionnaire,click_quiz,click_repeatactivity,click_resource,click_sharedsubpage,click_subpage,click_url,age_band,disability,gender,highest_education,imd_band,num_of_prev_attempts,region,student_name,studied_credits,descr_module,final_result
467,AAA,2014J,260355,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,F,A Level or Equivalent,80-90%,1,London Region,Rebecca Arnold,120,Linguagem de Programacao,LA :: Prev :: Em risco
497,AAA,2014J,298034,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,M,A Level or Equivalent,70-80%,0,Scotland,Charlotte Welch,120,Linguagem de Programacao,LA :: Prev :: Sucesso
586,AAA,2014J,447481,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,A Level or Equivalent,70-80%,0,Ireland,Brittany Green,60,Linguagem de Programacao,LA :: Prev :: Em risco
702,AAA,2014J,2404408,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,F,Lower Than A Level,40-50%,0,South West Region,Robert West,60,Linguagem de Programacao,LA :: Prev :: Em risco
741,AAA,2014J,2649800,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,M,Lower Than A Level,50-60%,0,West Midlands Region,Zoe Perez,60,Linguagem de Programacao,LA :: Prev :: Sucesso
5938,BBB,2014B,627948,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,A Level or Equivalent,0-10%,0,London Region,Ella Tucker,60,Redes de Computadores,LA :: Prev :: Em risco
6065,BBB,2014B,631341,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,A Level or Equivalent,10-20,0,West Midlands Region,Herbert Stephens,60,Redes de Computadores,LA :: Prev :: Em risco
6121,BBB,2014B,633212,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,Lower Than A Level,80-90%,0,Wales,Kimberly Lee,60,Redes de Computadores,LA :: Prev :: Em risco
7092,BBB,2014J,608134,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,Lower Than A Level,90-100%,0,Wales,Phoebe Gutierrez,60,Redes de Computadores,LA :: Prev :: Em risco
7882,BBB,2014J,679504,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,Lower Than A Level,20-30%,0,South East Region,Ed Russell,60,Redes de Computadores,LA :: Prev :: Em risco
